20,755791
35,930296
-23,377575
4,693564
-15,881252
-47,851588
-12,956084
31,220435
9,138340
42,455672
4,545610
-8,113681
-22,634724
8,910245
4,320597
40,464461
47,942289
-12,755730
12,233039
-38,286996
16,989135
-43,705802
20,598590
42,696097
-1,104373
29,839534
-16,146336
-12,663259
8,595843
5,288461
23,529923
31,186529
13,580035
28,369243
12,424146
-20,529466
-46,282662
41,201147
-19,601672
22,389447
-15,378826
-26,068484
6,678610
-40,198065
38,605792
-36,644093
31,075564
-17,820063
-30,966369
33,606189
-33,943937
44,043092
-21,913450
37,425245
37,036866
-33,305887
-32,328776
0,063845
15,814753
33,553789
38,624287
48,339915
1,561876
-27,205878
-30,183447
-34,159703
0,267281
29,663839
3,423627
-19,114658
48,034761
3,180120
-40,130253
0,199469
48,154973
50,565386
18,736839
5,877194
-43,650319
43,109134
-12,798883
40,649403
-10,890896
-36,157079
-11,769372
-26,019166
-25,513657
49,730064
-3,897000
-0,941008
45,306864
37,656423
40,519944
33,156163
-23,830683
-45,925108
21,862362
-18,572161
-29,835139
-10,505600
